utterance	labels
  Oh, I love my life, I love my life!  So great! He showed me where the restaurant's going to be. It's this, it's this cute little place on 10th Street. Not too big, not too small. Just right.  So anyway, I'm cooking dinner for him Monday night. You know, kind of like an audition. And Phoebe, he really wants you to be here, which will be great for me because then you can 'ooh' and 'ahh' and make yummy noises.  I don't know. I don't know. It's just going to be so great!	1
  That commercial always makes me so sad.  I meant because the monkey in it reminds me of Marcel.	1
  Okay? But-but imagine a lot more lights, okay? And-and y'know fewer bricks, and-and-and flowers, and candles...	0
  (to Kathy) I'll be right back. (to Chandler) What was that?  Kathy was being really nice and you just walked away. I thought we had a deal.	0
  I have an extra ticket. An extra ticket. Not, two tickets, I have an extra ticket.  He didn't turn me down! He's at the game isn't he? I got the date, I'm just not on it!  Wow! Monica!	0
  (plays with a thumbtack remover) Yeah?  Oh. Uh, I'm on. (picks up the phone)  (with a deep voice) Mr. Bing's office. (Listens) No I'm sorry, he's in a meeting right now.  Will he know what this is in reference to? (Listens) And he has your number? (Listens) All right, I'll see that he gets the message. Bye bye.  Ross says hi.  This is so fun. All right, what do we do now?  Most likely. (raises and goes toward the door) Okay, I'm gonna be out there.	0
  Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a real space shuttle.  Yeah. My Dad says if I spend as much time helping him clean apartments, as I do daydreaming about outer space, he'd be able to afford a trip to the Taj Mahal.  No. The one in Atlantic City, Dad loves the slots. He says he's gonna double the college money my Grandma left me.  The girl who won last year sold four hundred and seventy-five.  So far, I've sold seventy-five.  Five dollars a box.	1
  So she's a woman! So what?	1
  Yeah. Listen uh, I'd prefer it if you didn't call me Joey. Since I don't know anyone here, I thought it'd be cool to try out a cool work nickname.  (opening an envelope) There's like-there's like 300 bucks in this one!	1
  About what?  Heh... I was bluffing.	0
  Where are they? Where are they?  It's great. Maybe tomorrow we can rent a car and run over some puppies.  Here we go.  Hey, Janice.  Hey, that's not good. Can I get an espresso and a latte over here, please?  What?  (covering) What... did you get me there?  Bullwinkle socks. That's so sweet.  That's great.  Well, I'm gonna get another espresso. Can I get you another latte?	0
  Hey.	1
  There y'go, kids.  You seen Sandy?	1
  OK.... um, a weird thing happened to me on the train this morning...  (embarrassed) Wha... what, here?	1
  (entering, carrying a briefcase) Hi.  Y'know, I forgot the combination to this about a year ago? I just carry it around. Do you have any Chap Stick?  Y'know what, pretty good.  Good! I haven't smoked yet today, I feel great, and-and-and confident, that is a stunning blouse.  Thanks  What check thing?  (reading the check) Pete Becker. Pete... (quickly grabs a magazine and opens it up to show her a picture) (pointing to the picture) Is this him?  Who's he huggin'?  This guy invented Moss 865! Every office in the world uses that program!  There you go!!	1
  Incredible! I met the director this time and you'll never believe who it was.  All right. I'll give you one hint. Warren Beatty.  Yeah, there's just one thing that might be kind've a problem. See, I, uh, had to kiss this guy.  No, as part of the audition. See, I'm up for this part of this guy, who the main guy kisses.	1
  We're here!  Long story, honey.	1
  I remember the day I got my first pay check. There was a cave in in one of the mines, and eight people were killed.  I worked in a Dairy Queen, why?	1
  (with his mouthful) Hey, I didn't stalk her. I mean (he sprays Phoebe with crumbs)  Aww. (tastes it) Ohh!  Put your hands together.  No more jam?!	0
  You found that handle, did ya?  Well that's not true.	1
  (sings) I can't believe what I'm hearing here...  (sings) What I said you had...  Oh, was I doing it again?	0
  Ohh, God, guys, check it out, you can see that girl's underwear!  (to Chandler) So? Huh? What do you think?  Not your type?! She's gorgeous!  Okay. Understanding a little more why you're single. Ohh! Y'know, I have a friend you would like, she's really pretty. And then we could double date!  Okay, I've got some ugly friends, and they're all available too.	1
  Yeah.  No!	1
  (coming in from his bedroom) What is that?  Maybe he found you flip-flop.  Whoa! Is this porn? What did I do? I must've hit something on the remote.  No, we didn't even pay our cable bill-maybe this is how they punish us.  Maybe we shouldn't pay our gas bill? (Stops and thinks about what he just said.)	1
  Wait, wait, I'm getting a deja vu...no, I'm not.  There it is!	1
"  No, no, no. I'm sorry. It's ""smelly cat, smel-ly cat"".  Better. Yeah.  Yeah, much better. And you know what, don't feel bad, because it's a hard song.  You wanna try it again?"	1
  You changed?  And lucky means, more cleavage?	1
  Hey!	0
  Oh good!	0
  Hey.  What are you doing?  No! You're clogging up the chute that I spent a half-hour unclogging!  Oh yeah, of course you don't!	1
  What 'cha doing?  What about the chick?  Are you sure?	0
  You could.... say you're sorry to her mom.  So honey, what are you gonna do about the little girl?	0
  I don't know.  No, it's not just that. It's justI want someone who... who does something for me, y'know? Who gets my heart pounding, who... who makes me, uh... (begins to stare lovingly at Rachel)  What?  Who?  Look, I am totally, totally over her, OK, I just... (Rachel comes over, Ross lays head on table): Hiiii!  We're fine, we're fine.  Uhhhh... Joey cried last night.  Oh, guys, you should've seen him. 'Read 'em and weep.'  No, women are welcome to play.	0
  Nice luggage.  Hi!	0
  Hi!  Sooo, you've been doing this long?	1
  Any luck?  All right, look. Why don't you just return the book, let Joey give her the clock pen, and you give her something worse than that. Like... a regular pen.  Aw, honey, that's so sweet.  Oh! Pathetic! (Grabs the crossword puzzle and starts writing.)	1
  Phoebe. Hi.  No. Have you seen David?  Well, if you see him, tell him to pack his bags. We are going to Minsk.	1
  There's a game?  Listen, um honey, I appreciate this but you don't have to keep hanging out with them for me, I mean, they have each other.  Alright that's great, then just go. Go Knicks.  Oh, then go Vassar.  Ok, then just go.  Oh, why does this bother me so much? I mean I don't wanna be one of those people who tells their boyfriend they wanna spend 24 hours a day with them.  It's just that he doesn't have that much free time, ya know, and I don't know, what do I do?  I've got a question. Richard made plans again with the guys.  Ya know what, I think I'm gonna go to my room and read Cosmo, maybe there's something helpful in there. Know what, at least maybe I can learn how to do an at home bikini wax with leftover Cristmas candles.	1
  Marcel. Bring me the rice, c'mon. Bring me the rice, c'mon. Good boy. Good boy. C'mere, gimme the rice. (Marcel brings the rice) Thank you, good boy. Well, I see he's finally mastered the difference between 'bring me the' and 'pee in the'. (Rachel ignores him) 'Bring me the' and- Rach?  Hi.  Really.  Whoah, uh, what happened to, uh, 'Forget relationships! I'm done with men!' The whole, uh, penis embargo?  Wait-wait. I, I got it. I was there.  Yes. Yes. Yes! Yes, I really do! In fact, it's funny, very often, someone who you wouldn't think could-could curl your toes, might just be the one who...  ...Gets interrupted. Hi!	0
  All right! Bring it on, you...  (interrupting) Oh my God! Play!  Really, bitchin'!	1
  Just us.  Although, I have enjoyed the fact that, uh your shirt's been stickin' outta your zipper ever since you came back from the bathroom.  So, do we have the best friends or what?	0
  What'cha gonna' do?	1
  There he is! There he is!	1
  Hi.  Ta-da.  Hi.  Do I? Thank you, so do you.  Sparkly. So, wow, this is pretty wonerful, huh. Mr. major capades guy. I, I remember when you were just, like, King Friday in Mr. Roger's Ice is Nice.  Yeah, well, ya know, I'm kind of spooky that way. Wooo.	1
  Oooh! I have something you can do! I have this new massage client... Steve? (pause) Anyway, he's opening up a restaurant and he's looking for a head chef.  Hi! (turns back to Chandler, then to Monica) Oh, yeah, no, I know. You're a chef. I know, and I thought of you first, but um, Chandler's the one who needs a job right now, so....  (to Monica's tapping) Yeah, yeah!	0
  Ooh, look at you fancy lads. What's the occasion?  Ahh.  Okey-doke.  Um, I'm getting a lily for my Mom. 'Cause her name's Lily.  I think on my shoulder. [Ross enters]  Um, a chip. A tattoo, I'm getting a tattoo.	0
  OK, sorry to break up this party, but I've got resumes to fax before work tomorrow... (gets up to leave)  Settle what?  Oh. Right.	1
  Yeah right.  Yeah, he likes porn.  Hey!	0
  (changing subject) OK, so at this point, the dealer...  OK, alright, last minute lesson, last minute lesson. (holds up two cards) Joey... three... eight. Eight... three. (Joey is unamused) Alright babe, deal the cards.	0
  [carrying an ice cube tray] Ice, ice, ice squares anyone? Take a napkin. Alright.  Really? I'm perfectly comfortable. [one of the guest opens the refrigerator] Hey, hey, hey, get in line buddy, I was next. [she opens the refrigerator and leans into it]	1
  Both of us? (points to Chandler and himself)	0
  Pheebs, you go with Monica and try on her green dress. If that doesn't work, you can wear my gray silk one. Oh, gosh, what am I wearing?!  Well, hon-ey. I'm just trying to look nice for your big night.	0
  All right buddy, way to go! (smacks him on the butt)  Thank you! Today, my boss keep slapping my butt and he was acting like it was no big deal.  Well, I didn't do anything. I didn't want to be the guy who has a problem with his boss slapping his bottom.  Yeah, I know, for a really great stew you just y'know, stick your head in between 'em.	0
  Oh, it's Ross on one of his drives!  Hi!	0
  Okay. (he gets up and takes the cushions with him, as he starts to leave)  You said I had to give you the chair, you didn't say anything about the cushions.  That's right! I'm taking the essence.	1
  OK, now I'm gonna kick some ass. [Phoebe grabs each of them by an ear]  Alright, now I will let go if you both stop.	1
  Hey, if mommy can have a wife, daddy can have a bra.  Oh, no-no-no, see, that-that clock's a little fast, uh, we have 17 minutes. Huh, what can we do in 17 minutes? Twice?  Hey, uh, you can ignore that.  Uhh, believe me when he's older, he'll understand.  I'll be right there. (He goes over and opens the door to Carol, Susan, and Ben.) (To Ben.) Hello! (To Carol.) Hello! (To Susan.) Hey. Uhh, Emily, this is Carol and Susan.	0
  Oh, God, oh, God, I mean it's just so.  Uhh, I mean this is like reading about my own life. I mean this book could have been called 'Be Your Own Windkeeper Rachel'.  NO!  No, why do we always have to do everything according to your time table?  No, see this isn't about the movie theatre, this is about you stealing my wind.	1
  Thank you.  Well, they uh, they-they do more than that.  Yes, Joanna really has been an incredible mentor to me.  I-I-I of course, I have more responsibilities than that.	1
  Hey, Joey, what would you do if you were omnipotent?	0
  That little naked guy would be me.  Yes, yes, fine, that is my penis. Can we be grown-ups now?  Got me.	0
  Oooh look! Isn't this adorable, Ross let Ben address mine!  Hey! Hey, did you get your invitation to Ross's wedding?  I'm so jealous you're all going! I can't believe I never knew that you can't fly in your third trimester!	0
  But my clothes are-ohh! (They both leave.)  No time for that!	0
  Oh, I ordered mine first.  Give it to me.  Give it to me.  [She grabs the coffee cup on the table and licks the rim.] There you go, enjoy your coffee.  [Chandler tries to come back with a smart-ass remark but can't swallow the muffin.] Quick, Phoebe, tell us before he can swallow.	1
  Hey, Bob, it's Jade. Listen, I just wanted to tell you that I was really hurt when you didn't show up the other day, and just so you know, I ended up meeting a guy.  Oh, hi.  Yes, yes, I did. In fact, I had sex with him 2 hours ago.  Eh.  Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.	0
  (entering) Hey.  Oh, okay, except I broke up with Roger.	0
  What?	1
  Hi!  Yeah. Ahh, here's a box of your stuff. (hands him a box)  Oh, y'know, it's just like hats, and a shirt, and CD's, just sort of stuff that you've left here.  No. Ross, it, it just seems that y'know it's time we-we y'know, move on. I mean, I mean don't' you think?  Yeah?  Good.  Ross, you got that for free from the museum gift shop.  Okay, all right, give me the mug! I'll keep the mug.  You know how much I love that T-shirt! You never even where that T-shirt!  Oh, you are a petty man. You are a petty, petty....  Petty... (goes into her room)  Petty...  Small...  You are so just doing this out of spite.  Huh?	1
  Have fun!  Oh, I know.  What?!  Yeah, well, I gotta work, I'm sorry.  Because, I can't! Ross, I told you, no. I can't.	0
  (still hiding under the blankets) So um, who was she?  (still hiding under the blankets) Did you like her? And I'm just asking as a friend, because I am totally fine with this.  (gets up) Okay, y'know what, I'm not fine, I'm not. I mean how can I be fine, hearing you come in with her, she wants to see your bedroom.... (pause) Y'know what, what if we're friends who don't see other people?  Why not?! I mean this has been the most amazing week. Would it be so terrible? Even if we were friends who lived together. Or, maybe someday friends who stood up in front of their other friends, and vowed to be friends forever.  That's not true, you don't have a moustache.	1
  So, like, you guys all have jobs?  Wow! Would I have seen you in anything?	0
  Maybe it was just the kind of story where you have to be there.  Hi Russ, I've just got two more tables to clean and then we'll go, OK?  Hi.  Uhh.... waitressing?  [looks at him] Huh, Bob Saget?	0
  So, you gals wanna hand over your money now? That way, we don't have to go through the formality of actually playing.  Uh... to the bathroom.  I want to go to the bathroom. (exits)	1
  What? I-I said you had a-  (to Phoebe) Would you stop?  I said that you had a nice butt, it's just not a great butt.	1
  Yeah, well just be glad he's not playing a smaller instrument.  I know. And Mom, I realize you and Daddy were upset when I didn't marry Barry and get the big house in the suburbs with all the security and everything, but this is just so much better for me, you know?  For...me.  Well, what do you mean?  Oh god. I think I'm gonna be sick.  None.  No! They didn't even talk to each other. God, how was I supposed to know they were having problems?  I just can't believe this is happening. I mean, when I was little, everybody's parents were getting divorced. I just figured as a grownup I wouldn't have to worry about this.  Well, then, you know, couldn't she have just copied my haircut?	1
  Hey-hey, what's going on?  Thanks for telling me!  Ohhhh, good one! And Yemen that actually sounds like a real country.  Nope. (To Ross) Man look at this! Ross, I can't believe you said you'd play rugby. I mean look how brutal this is!  (pointing to the TV) Okay, Ross, look-look-look-look, look right here. That's called a scrum, okay? It's kinda like a huddle.  Ross! (Laughs) They're gonna kill you!	0
  (entering from her bedroom) Pheebs, you've been up for 24 hours! Go to sleep, honey. Th-this isn't healthy.  Hey! Didn't you have that outfit on last night?  Anyway, how did it go with Kate?  Joey, you had the night!  When two people finally realise their feelings for each other, and-and they talk for hours, and they-they learn all about the other person!	1
  See, Rach, uh, see, I don't think that swearing off guys altogether is the answer. I really don't. I think that what you need is to develop a more sophisticated screening process.  Uh, no, no, see, because not...not all guys are going to be a Paolo.  (astonished) What?  I-I'm, I'm having a boy?  Wha-I'm having, I'm having a boy! (babbling) Huh, am I having a boy?  I'm having a boy! Oh, I'm having a boy!	0
  (entering, with Joey) All right! Let's do it!  Okay, 'cause that's not gonna get annoying.  Hey, y'know what? I was wrong.	1
  Yeah.  Oh please, they're having sex.	1
  Check it out!! Jam crackers!  Yeah, the Knicks rule!  Let me see. (goes over and looks at the form) Oh, right.  Well, right after I did that sex study down at NYU. (to Chandler) Hey, Remember that sweater I gave you for your birthday?  Noooo, that's what I was wearing when I donated. I'm kinda surprised there's any of my boys left.  Maybe, I should call this place and get them to put my 'Days of Our Lives' on here. You know, juice this puppy up a little.	1
  Do you think they have yesterday's daily news?  Just wanna check my horoscope, see if it was right.  Where? (Turns to face him) Ooh, come to Momma.  We should do something. Whistle.  Come on, do it.	0
  Yeah, so no one touches the remote. And no one touches the TV!  Imagine a protective porn bubble if you will, okay?  Hey.	1
  Look-look-look-look-look, my first pay check! Look at the window, there's my name! Hi, me!  God, isn't this exciting? I earned this. I wiped tables for it, I steamed milk for it, and it was totally(opens envelope)not worth it. Who's FICA? Why's he getting all my money? I mean, what- Chandler, look at that.	0
  I just had sex.  Well, you never told me how old you were.  I wasn't thinking. I was too busy fallin'...	0
  Hey.  Listen. You are not going to believe this but, that is not me singing on the video.  Yes.  Well, OK, the record company sent over this piece of paper for me to sign, saying that it's OK for someone else to sing for me. That was my first clue.  Well, I can't work with people who would do this.	1
  Yes? Yes! Oh.  Oh, I was just here looking for, um, my um, my part of an old sandwich. Oh, here it is! Oh. (picks one up out of the garbage can.)  Um, perhaps. Yes! Yes, I'm sorry, I'm sorry. I was just afraid that you were still hung up on my sister.	0
  (Looking out at the balcony) So tell me something, is leaving the Christmas lights up part of your plan to keep us merry all year long?  Hey, where you been?  Score.  Yeah, listen. Okay, before you do anything Joey-like, you might wanna run it by err... (he indicates Phoebe, who is helping Ross understand the remote control.)	0
  Who's this from?  Oh... (opens it and sees it is a pin) Oh my God. He remembered.  It was like months ago. We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl. Oh! I can't believe he remembered!	0
  Hey!  Hey, why are you mopping your ceiling?  Wow, I have the spirit of an old Indian women living in mine.  The mailman was downstairs, so I brought up your mail.  Now what is Fabutec?  Waxine!!	1
  Okay, so we got some more good rejections, lots of stuff to work on.  Okay, um, oh, the zoo commercial.  No. They said you 'Weren't believable as a human being.' So, you can work on that.  Um, the off-Broadway play people said 'You were pretty but dumb.'  Oh no wait, I'm sorry, that's 'pretty dumb.'  Oh.  Yeah, no, I understand.  Yeah. Sorry. (she starts to leave)	0
  This isn't how it's supposed to go, there can't be another guy.  Of course there's another guy!! This is even more perfect! Now you have to prove your love!  You have to go to London!  Yeah, you have to go fight for her!  When Rachel was with Paulo, what did you do?  You sat back and let him have her, you didn't fight at all. Am I right? Do you want the same thing to happen with Emily?  All right then, go fight for her! Go to London! I mean, that could be you and Emily! (Points to the TV.) That, but-but nicer. Just, go to London!  Come on! Surprise her! Show up at her doorstep! Don't let her go without a fight!	1
  (returning) Okay, I'm afraid to say this, but let's pick it up where we left off.  Stop!! Stop it! You must stop! You are bad actors! This is a terrible play! I'll see you in the morning. (exits)	1
  (entering) Hey, you know our phone's not working?  I tried to call you from the coffee shop, and there was no answer.  Hey, so listen, I went across the street and talked to the doorman- I got the peeper's name! Can I use the phone?  (to Monica) Can I use your phone? (On phone) Yeah, the number for a Sidney Marks, please.  (on phone) Yeah, is Sidney there? (Listens) Oh, this is? (To the gang) Sidney's a woman.  Yeah. Yeah, so what? (On phone) Look, I live across the street, (walking to the window) and I know all about you and your little telescope, and I don't appreciate it, okay? (Listens) Yeah, I can see you right now! (Listens) Hello! (Listens) If I wanna walk around my apartment in my underwear, I shouldn't have to feel like(Listens)Thank you, but... that's not really the point... (Listens) The point is that... (Listens) Mostly free weights, but occasionally..	0
"  (proudly) Oh, you should here me.  Look, I told ya, I'm not going to any clinic! I don't have a problem, you're the one with the problem! You should go to a ""Quit being a baby and leave me alone"" clinic!  Yeah, they do! Quit being a baby and leave me alone! There, you've just had your first class!  Ohhh, yeah!  I gotta do what I gotta do, you gotta do what you gotta do, you just do it."	1
  They're green?  That's not even a game!  You wanna finish this right now? All right, we get a deck of cards, high card wins. What do you say?  Oh, good.  Okay. (She picks a card.) Four.	0
  Something to do with numbers?  What?  You mean the mom you met in Montauk. She was a cat?!	1
  Okay, I heard that.  Uh-huh.	1
  Well, he's finally alseep. About that ah, bump on his head?  It's okay if he bumps his head, kids bump their heads all the time, y'know, it was your first time babysitting, I figured you did the best you could.  I know! I'm saying you have to watch them all the time.  Monica did it?  Monica?  Umm, did you notice anything wierd about Ben today?  Well, I was just playing with him, and y'know we were doing the alphabet song, which he used to be really good at, but suddenly he's leaving out 'e' and 'f.' It's like they just ah, I don't know, fell out of his head.  Oh, and also, he's, he's walkin' kind of funny, his left leg is moving a lot faster than his right leg, and he's in there just sort of y'know... (walks around in a circle)	1
  He asked you out?!  Saucy!	0
  Sophie's desk.  (whispering) Chandler!! Are you gonna call her!  Chandler!!  Okay, you are going to tell her and you're going to tell her now. (She grabs his nipple and starts to twist it.)	0
  Goodnight.  Oh, no no, I am.  Um, no, I uh, I have done it before.  I uh, I don't know, I guess I'm just gonna see, see what happens.  Wha, uhh, what?  OK, now I'm nervous.  No, no, I don't wanna put it off, I just, God I just, I spent last year being so unbelievably miserable, ya know, and now, now I'm actually happy. You know, I mean, really happy. I just, I just don't wanna, I don't wanna mess it up, ya know.  What, it's not your fault.  Really?	0
  Good night.  Okey-dokey!	0
  Sorry.  Hi. Sorry Im late. Wheres, wheres Carol?  No... No... No. I think I should stay, I think we should both know whats going on.  Okay, I'm gonna play my sperm card one more time.  I see. So what do you propose to do?	1
  Rach! Rach!  Hi! What are you, what are you doing here?  Oh.  Not yet.  Pretty soon I guess.  I just, I don't understand, I mean, how-how can she do this? Y'know, what, am I, am I like a complete idiot for thinking that she'd actually show up?  Same difference.  I get it! Well, that's that.  What?  Oh, I don't, I don't, I don't know...  I could, yeah, I can do that.  I can't, I can't even believe her! No, y'know what, I am, I am gonna go!  I know, why not?  Right?  Y'know-thanks! (They hug)  Yeah, well...nah.  Why don't you come, I mean, I-I have two tickets, why not?  Yeah, yeah, it'll be great! You can, you can lay on the beach and I can cry over my failed marriage. See-see how I make jokes?  No really, I mean, I mean, God, I could use a friend.  Okay!  Cool!  Come on! (They go to the jetway, Ross hands the tickets to the gate agent.) Here.  Ah! Ah! I forgot my jacket!	1
  Yeah it is. . . what?  Yeah, that was a tricky one. In reality, that operation takes like, over 10 hours, but they only showed it for 2 minites.  No one.	0
  Well, okay, I made a touchdown. It was my first touchdown. So?  Oh my God!  Woo-yay!!	0
  Hi, but I'm not here, you haven't met me. I'll make a much better first impression tomorrow when I don't have 20 hours of cab and plane on me.  Oh my god.  And the spitting?  We're on this bus, that's easily 200 years old...  ...and this guy...  Well, Ross and I were in grad school together.	1
  I'm hurt! I'm actually hurt, that you would think that I would send you any of those things out of any thing other than love. Hurt! Hurt!  I mean my God...	1
  Hi.  Are you a, uh, friend of Rachel's?  Actually, I'm a... kind of a.... you know, a... date-type... thing... of Rachel's.  Yeah, I'm her date.  Oh, you are the, uh... paleontologist.  Periodontist.  Ditto. [ROss approaches Rachel at counter.]	0
  Are you not seeing him anymore?  Oh, yeah.  It's morphin time!	1
  Hey! (Trots over)  Oh. (Goes and gets Phoebe's book as Rachel comes in from her room.)	0
  (imitating the characters) Tuna or egg salad? Decide!  (re TV) Ooh, she should not be wearing those pants.	1
  Hey!  And now you're giving me the message!  You actually think that something can happen between Emily and Susan?  Hi! Hi! You're crazy! Okay? This is Emily. Emily is straight.	1
  I think so.  Thanks man, but I think it makes a stronger statement if I ask for it myself, y'know.  Oh, yeah, that. All right, means that much to ya, I'll let you have her.  Well I don't like to say it out loud, but, yeah! Don't feel bad man, we all have our strengths. You're better with numbers and stuff.	0
  No, no, no, now wait, wa, wa, waa-it a minute, wait a minute, wait a minute, wait a minute. That actually, uh, that sounds interesting.  I think you should drink the fat.  No, no, no, wait! Okay, okay. Don't! I'll go, I'll go!  You were really gonna do that, weren't you?  You were gonna drink the fat.	0
  Okay. (Writes a little more) I am so hot!  (Into microphone) Central Perk is proud to present Miss Phoebe Buffay.  (Into mike) Okay, that was Phoebe Buffay, everybody. Woo!	0
  Yeah.  Right. No big deal.  In Bizarro World!! You broke the code!  You don't kiss your friend's mom! Sisters are okay, maybe a hot-lookin' aunt... but not a mom, never a mom!  Yeah, well, you don't have your racket.  Yeah, well you didn't call and leave your grip size.  Ross, how could you let this happen?  You don't think my mom's sexy?  I'll have you know that Gloria Tribbiani was a handsome woman in her day, alright? You think it's easy giving birth to seven children?	1
  Hey, Rach, you know what? I think, I think I know what'll make you feel better. How 'bout you make a list about me.	0
  Ha. Ha, ha.  Oh, hello, kettle? This is Monica. You're black.	0
  (entering with Monica in tow) Hey!  Look who I found standing outside of the Szechwan Dragon staring at a parking meter.	0
  So big deal, so Joey's had a lot of girlfriends, it doesn't mean he's great in bed.  Sweetie, with you it's gonna be different. The sex is gonna be great, 'cause you-you guys are in love.	0
  No, not even close. Forget Vail, forget seeing my family, forget shoop, shoop, shoop.  Thanks, you can just put it on the table.  Thanks, you can just put it on the table.  Oh my god, oh, you guys are great.  Thank you. Thank you so much!  Wait, wait, Chandler, this is what you're havin' for Thanksgiving dinner? What, what, what is it with you and this holiday?	1
  Oh, it's just... Oh, Barry, this was not good.  Well, what about Mindy?  No, not that, I mean, what about you and Mindy?  No. No-no-no-no, no. I mean, don't do that. Not, I mean not for me.  Oh, Barry..! Come on, this is all way too..	1
  Y'know when girls sleep with guys with weird things on their body, they tell their friends about it.  Brides magazines?  It is so weird, I know what I said, but uh, this morning, I was lying in bed I was, I was imagining what it would be like to say yes. (Rachel slams the magazine shut in amazement.) I know it's a little sudden, and it's a little rushed, and it's totally not like me to do something like this, but that doesn't mean I can't. Right? I mean I'm-I'm crazy about Pete, and I know that we want the same things, and when I thought about saying yes, it made me really happy.  I know. (pause) I need more pie. (goes and gets some)	0
  Hi.  Oh, that's um, interesting.  Alright, I got it Ross.  [hurt] What?  Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?  I didn't know then. And how come you never said anything to me.  Right, you, you only had a year. We only hung out every night.  Hey, there was one Italian guy, OK, and do you even have a point?  Yeah, what're you saying, you just sort of put away feelings or whatever the hell it was you felt for me?  Alright, fine, you go ahead and you do that, alright Ross.	1
  Well, I'm guessing he wants to do a little dance. . . ya know, make a little love. . . well pretty much get down tonight.  Oh, she's goin' somewhere.  Hey, you feelin' better?	1
  Hmmm, that's very cool.  I can't believe she cracked your code!	0
  Uh, can I talk to you a minute?  This is really hard for me to say.  Oh, no, no, it's about you.  I think you may have a drinking problem.  Look, I am just not strong enough to be in a codependent relationship right now, OK?  Well, anyway, I hope we can be friends.  You too. [Fun Bobby leaves and Monica goes back inside.]	1
  (To Mr. Treeger) So you ah, ready for our last practice?  Look, you wanna use our place?  We did it!!  I know, it was amazing! I mean, we totally nailed it, it was beautiful.  Oh well, okay, good luck.  Unless you wanna practice the Foxtrot again? Or-or the Tango?  Okay.	0
  You wear bi-focals?  Did you know my husband has glasses just like that?  Rachel, you didn't tell me your boyfriend smoked.	1
  (looking at her watch) Oh my God, I gotta go to work!  Oh I don't know honey. It's gonna be really late.  I know. I'm sorry. Look, I'll make a deal with you all right? Okay?  For every night that you're asleep before I get home from work...  I will wake you up in a way that's proved very popular in the past.  Right.	0
  It's Erica.  Never mind, it's open.	1
  ...and that was all before 10 o'clock. The caterer rang and said it was going to be Chicken Kiev instead of Chicken Tarragon. And then the florist phoned to say there aren't any tulips. Oh, and the chilliest has carpel-tunel syndrome. We're not gonna be...  Well, up yours too!  Oh, that's not what it means?  Sorry.	1
  (running over and joining Monica) They'll never understand!  (following Monica) We were two miles from the house. Scared and alone. We didn't think we could make it. (He goes to put his hands on Monica's shoulders but for some reason can quite complete the action and pulls back.)  And then Joey remembered something.	1
  That's right! Where are the guys? I'm ready to get drunk and see some strippers.  They got a breakfast buffet.  Ooh, let me talk to him!  Well, can I just...	0
  Look at it this way: you dumped her. Right? I mean, this woman was unbelievably sexy, and beautiful, intelligent, unattainable... Tell me why you did this again?  No? What happened, big guy?  It felt like a 'big guy' moment.	0
  What?  Oh, I know, I never wear fake ones. I just did it so my Mom wouldn't give me grief about me biting them.  (Looks at her nails) Oh my God. Wait a minute, I had them put... (realises) Oh my God! It's in the quiche! Oh My God!  Okay ah, please don't freak out. Umm, but ah, there's a blue fingernail in one of the quiche cups, and there's no way to know which one.  Then why are you laughing?  What? You bet I'd lose a nail?  Frozen lasagnas?  You bet that I'd screw up?! So all that stuff about hiring me because I was good was...  You promised Dr. Weinburg, you'd never use that phrase.  (laughs) That's right. My Mom doesn't have any faith in me! Oh, that's hilarious! Ha-ha-ha-ha-ha.	0
  Ma?  Chandler? What're you still doin' here, I though you guys took off.  Are you naked in there?  Huh, you uh, you always wear panties?  Wow, talk about your bad luck, I mean, the first time you try panties and someone walks off with your clothes.  Well, let me see.  Alright, alright. [climbs up in the next stall and looks over at Chandler] Woah, someone's flossing. [Ross enters, sees Joey in the mirror]  Chandler's wearing panties.	0
  So what'd he say?	0
  Yes.  Thank goodness.  Really?! Well, that's just lovely, isn't it? I must've missed your call, even though I didn't leave the flat all day.  Oh, no-no-no, that's not rude! It's perfectly in keeping with a trip that I've already been run down by one of your wiener carts, and been strip-searched at John F. Kennedy Airport, apparently to you people, I look like someone who's got a balloon full of cocaine stuffed up their bum.	1
  Wait, he's not here yet.  Alright.	1
